title,artist,peakPos,lastPos,weeks,rank,date
Please Don't Go,KC And The Sunshine Band,1,2,20,1,1/5/1980
Escape (The Pina Colada Song),Rupert Holmes,1,1,12,2,1/5/1980
Rock With You,Michael Jackson,3,11,10,3,1/5/1980
Send One Your Love,Stevie Wonder,4,4,10,4,1/5/1980
Do That To Me One More Time,Captain & Tennille,5,6,12,5,1/5/1980
Babe,Styx,1,3,14,6,1/5/1980
Still,Commodores,1,5,15,7,1/5/1980
Coward Of The County,Kenny Rogers,8,22,8,8,1/5/1980
Ladies Night,Kool & The Gang,9,9,14,9,1/5/1980
We Don't Talk Anymore,Cliff Richard,10,13,12,10,1/5/1980
Cool Change,Little River Band,11,12,12,11,1/5/1980
Cruisin',Smokey Robinson,12,15,14,12,1/5/1980
The Long Run,Eagles,13,17,5,13,1/5/1980
Head Games,Foreigner,14,14,9,14,1/5/1980
Better Love Next Time,Dr. Hook,15,16,13,15,1/5/1980
Jane,Jefferson Starship,16,18,10,16,1/5/1980
I Wanna Be Your Lover,Prince,17,23,7,17,1/5/1980
This Is It,Kenny Loggins,18,21,12,18,1/5/1980
I Want You Tonight,Pablo Cruise,19,19,13,19,1/5/1980
You're Only Lonely,J.D. Souther,7,7,18,20,1/5/1980
No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer,1,8,12,21,1/5/1980
Don't Do Me Like That,Tom Petty And The Heartbreakers,22,25,8,22,1/5/1980
Wait For Me,Daryl Hall John Oates,23,26,11,23,1/5/1980
Don't Let Go,Isaac Hayes,24,28,11,24,1/5/1980
Sara,Fleetwood Mac,25,35,4,25,1/5/1980
Take The Long Way Home,Supertramp,10,10,13,26,1/5/1980
Damned If I Do,The Alan Parsons Project,27,27,15,27,1/5/1980
Third Time Lucky (First Time I Was A Fool),Foghat,28,30,8,28,1/5/1980
Deja Vu,Dionne Warwick,29,34,9,29,1/5/1980
Chiquitita,ABBA,30,31,9,30,1/5/1980
"Yes, I'm Ready",Teri DeSario With K.C.,31,36,8,31,1/5/1980
Pop Muzik,M,1,32,22,32,1/5/1980
Half The Way,Crystal Gayle,15,24,15,33,1/5/1980
Heartache Tonight,Eagles,1,20,14,34,1/5/1980
Romeo's Tune,Steve Forbert,35,48,6,35,1/5/1980
Rotation,Herb Alpert,36,40,8,36,1/5/1980
Rapper's Delight,Sugarhill Gang,37,43,9,37,1/5/1980
"Train, Train",Blackfoot,38,38,12,38,1/5/1980
I'd Rather Leave While I'm In Love,Rita Coolidge,39,44,8,39,1/5/1980
Forever Mine,The O'Jays,40,42,7,40,1/5/1980
Savannah Nights,Tom Johnston,41,45,8,41,1/5/1980
Fool In The Rain,Led Zeppelin,42,64,3,42,1/5/1980
Crazy Little Thing Called Love,Queen,43,58,3,43,1/5/1980
Voices,Cheap Trick,44,56,5,44,1/5/1980
Why Me,Styx,45,65,4,45,1/5/1980
You Know That I Love You,Santana,46,53,7,46,1/5/1980
She's In Love With You,Suzi Quatro,47,51,7,47,1/5/1980
Do You Love What You Feel,Rufus And Chaka Khan,48,54,7,48,1/5/1980
Mistrusted Love,Mistress,49,49,9,49,1/5/1980
Lonely Eyes,Robert John,50,55,5,50,1/5/1980
Lost Her In The Sun,John Stewart,51,59,5,51,1/5/1980
Dig The Gold,Joyce Cobb,52,62,7,52,1/5/1980
Last Train To London,Electric Light Orchestra,53,63,5,53,1/5/1980
September Morn',Neil Diamond,54,66,3,54,1/5/1980
Money,The Flying Lizards,55,60,6,55,1/5/1980
Daydream Believer,Anne Murray,56,67,3,56,1/5/1980
Move Your Boogie Body,Bar-Kays,57,61,5,57,1/5/1980
Wonderland,Commodores,58,68,4,58,1/5/1980
An American Dream,The Dirt Band,59,70,5,59,1/5/1980
Dirty Water,The Inmates,60,69,5,60,1/5/1980
Looks Like Love Again,Dann Rogers,61,71,4,61,1/5/1980
"Working My Way Back To You/Forgive Me, Girl",The Spinners,62,72,4,62,1/5/1980
Glide,Pleasure,63,73,5,63,1/5/1980
Ships,Barry Manilow,9,29,13,64,1/5/1980
Heartbreaker,Pat Benatar,65,76,3,65,1/5/1980
When I Wanted You,Barry Manilow,66,78,4,66,1/5/1980
Longer,Dan Fogelberg,67,77,4,67,1/5/1980
Stargazer,Peter Brown,68,79,4,68,1/5/1980
I Need A Lover,John Cougar,28,33,13,69,1/5/1980
Memorize Your Number,Leif Garrett,70,80,4,70,1/5/1980
Star,"Earth, Wind & Fire",71,81,3,71,1/5/1980
Can We Still Be Friends,Robert Palmer,72,82,3,72,1/5/1980
99,Toto,73,85,3,73,1/5/1980
The Second Time Around,Shalamar,74,83,5,74,1/5/1980
You're Gonna Get What's Coming,Bonnie Raitt,75,75,5,75,1/5/1980
I Don't Want To Talk About It,Rod Stewart,76,84,3,76,1/5/1980
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Bonnie Pointer,77,86,3,77,1/5/1980
Shooting Star,Dollar,78,88,3,78,1/5/1980
Don't Make Me Over,Jennifer Warnes,79,87,3,79,1/5/1980
Volcano,Jimmy Buffett,80,89,3,80,1/5/1980
I'm Alive,Gamma,81,0,1,81,1/5/1980
Broken Hearted Me,Anne Murray,12,37,16,82,1/5/1980
Flirtin' With Disaster,Molly Hatchet,83,0,1,83,1/5/1980
Video Killed The Radio Star,The Buggles,40,46,9,84,1/5/1980
Make Believe It's Your First Time,Bobby Vinton,85,0,1,85,1/5/1980
Goodnight My Love,Mike Pinera,86,0,1,86,1/5/1980
I Still Have Dreams,Richie Furay,39,39,11,87,1/5/1980
Love Pains,Yvonne Elliman,34,41,13,88,1/5/1980
I Call Your Name,Switch,89,91,10,89,1/5/1980
Let Me Sleep Alone,Cugini,90,90,3,90,1/5/1980
With You I'm Born Again,Billy Preston & Syreeta,91,92,5,91,1/5/1980
Holdin' On For Dear Love,Lobo,92,93,3,92,1/5/1980
Bad Times,Tavares,93,0,1,93,1/5/1980
Since You Been Gone,Rainbow,57,57,8,94,1/5/1980
Rainbow Connection,Kermit (Jim Henson),25,47,17,95,1/5/1980
Rise,Herb Alpert,1,96,24,96,1/5/1980
You Decorated My Life,Kenny Rogers,7,94,18,97,1/5/1980
Dim All The Lights,Donna Summer,2,50,20,98,1/5/1980
TUSK,Fleetwood Mac,8,52,14,99,1/5/1980
Message In A Bottle,The Police,74,74,7,100,1/5/1980
Escape (The Pina Colada Song),Rupert Holmes,1,2,13,1,1/12/1980
Rock With You,Michael Jackson,2,3,11,2,1/12/1980
Do That To Me One More Time,Captain & Tennille,3,5,13,3,1/12/1980
Send One Your Love,Stevie Wonder,4,4,11,4,1/12/1980
Please Don't Go,KC And The Sunshine Band,1,1,21,5,1/12/1980
Still,Commodores,1,7,16,6,1/12/1980
Coward Of The County,Kenny Rogers,7,8,9,7,1/12/1980
Ladies Night,Kool & The Gang,8,9,15,8,1/12/1980
We Don't Talk Anymore,Cliff Richard,9,10,13,9,1/12/1980
Babe,Styx,1,6,15,10,1/12/1980
Cool Change,Little River Band,11,11,13,11,1/12/1980
Cruisin',Smokey Robinson,12,12,15,12,1/12/1980
The Long Run,Eagles,13,13,6,13,1/12/1980
Better Love Next Time,Dr. Hook,14,15,14,14,1/12/1980
Jane,Jefferson Starship,15,16,11,15,1/12/1980
I Wanna Be Your Lover,Prince,16,17,8,16,1/12/1980
This Is It,Kenny Loggins,17,18,13,17,1/12/1980
Head Games,Foreigner,14,14,10,18,1/12/1980
Don't Do Me Like That,Tom Petty And The Heartbreakers,19,22,9,19,1/12/1980
Sara,Fleetwood Mac,20,25,5,20,1/12/1980
Wait For Me,Daryl Hall John Oates,21,23,12,21,1/12/1980
Don't Let Go,Isaac Hayes,22,24,12,22,1/12/1980
You're Only Lonely,J.D. Souther,7,20,19,23,1/12/1980
No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer,1,21,13,24,1/12/1980
I Want You Tonight,Pablo Cruise,19,19,14,25,1/12/1980
Third Time Lucky (First Time I Was A Fool),Foghat,26,28,9,26,1/12/1980
Deja Vu,Dionne Warwick,27,29,10,27,1/12/1980
"Yes, I'm Ready",Teri DeSario With K.C.,28,31,9,28,1/12/1980
Chiquitita,ABBA,29,30,10,29,1/12/1980
Crazy Little Thing Called Love,Queen,30,43,4,30,1/12/1980
Romeo's Tune,Steve Forbert,31,35,7,31,1/12/1980
Rotation,Herb Alpert,32,36,9,32,1/12/1980
An American Dream,The Dirt Band,33,59,6,33,1/12/1980
Savannah Nights,Tom Johnston,34,41,9,34,1/12/1980
Take The Long Way Home,Supertramp,10,26,14,35,1/12/1980
Rapper's Delight,Sugarhill Gang,36,37,10,36,1/12/1980
Forever Mine,The O'Jays,37,40,8,37,1/12/1980
I'd Rather Leave While I'm In Love,Rita Coolidge,38,39,9,38,1/12/1980
"Train, Train",Blackfoot,38,38,13,39,1/12/1980
Fool In The Rain,Led Zeppelin,40,42,4,40,1/12/1980
Voices,Cheap Trick,41,44,6,41,1/12/1980
Why Me,Styx,42,45,5,42,1/12/1980
You Know That I Love You,Santana,43,46,8,43,1/12/1980
Do You Love What You Feel,Rufus And Chaka Khan,44,48,8,44,1/12/1980
She's In Love With You,Suzi Quatro,45,47,8,45,1/12/1980
Daydream Believer,Anne Murray,46,56,4,46,1/12/1980
Damned If I Do,The Alan Parsons Project,27,27,16,47,1/12/1980
Lonely Eyes,Robert John,48,50,6,48,1/12/1980
Lost Her In The Sun,John Stewart,49,51,6,49,1/12/1980
Last Train To London,Electric Light Orchestra,50,53,6,50,1/12/1980
September Morn',Neil Diamond,51,54,4,51,1/12/1980
Dig The Gold,Joyce Cobb,52,52,8,52,1/12/1980
Money,The Flying Lizards,53,55,7,53,1/12/1980
Wonderland,Commodores,54,58,5,54,1/12/1980
Longer,Dan Fogelberg,55,67,5,55,1/12/1980
Dirty Water,The Inmates,56,60,6,56,1/12/1980
Move Your Boogie Body,Bar-Kays,57,57,6,57,1/12/1980
"Working My Way Back To You/Forgive Me, Girl",The Spinners,58,62,5,58,1/12/1980
Pop Muzik,M,1,32,23,59,1/12/1980
Looks Like Love Again,Dann Rogers,60,61,5,60,1/12/1980
When I Wanted You,Barry Manilow,61,66,5,61,1/12/1980
Stargazer,Peter Brown,62,68,5,62,1/12/1980
Glide,Pleasure,63,63,6,63,1/12/1980
Heartbreaker,Pat Benatar,64,65,4,64,1/12/1980
99,Toto,65,73,4,65,1/12/1980
Memorize Your Number,Leif Garrett,66,70,5,66,1/12/1980
The Second Time Around,Shalamar,67,74,6,67,1/12/1980
Star,"Earth, Wind & Fire",68,71,4,68,1/12/1980
I Need A Lover,John Cougar,28,69,14,69,1/12/1980
Can We Still Be Friends,Robert Palmer,70,72,4,70,1/12/1980
